"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2006";19,79;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2007";19,69;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2008";20,35;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2009";21,11;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2010";22,05;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2011";21,64;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2012";22,94;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2013";23,92;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2014";24,49;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2015";24,34;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2016";23,92;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2017";25,01;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";26,35;"zł";"";
0000000;"POLSKA";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";27,00;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2006";;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2007";;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2008";;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2009";;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2010";;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2011";;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2012";;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2013";2,38;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2014";2,71;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2015";1,99;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2016";2,64;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2017";2,37;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2018";3,61;"zł";"";
0000000;"POLSKA";"styczeń";"jabłka - za 1kg";"cena";"2019";2,20;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2006";;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2007";;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2008";;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2009";;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2010";;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2011";;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2013";4,99;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2014";4,53;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2015";4,53;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2016";4,73;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2017";5,16;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2018";5,43;"zł";"";
0000000;"POLSKA";"styczeń";"pomarańcze - za 1kg";"cena";"2019";5,15;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2006";1,42;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2007";1,59;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2008";1,57;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2009";1,70;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2010";1,63;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2011";2,12;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2012";1,55;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2013";1,66;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2014";1,72;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2015";1,50;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2016";2,34;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2017";1,64;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2018";2,07;"zł";"";
0000000;"POLSKA";"styczeń";"marchew - za 1 kg";"cena";"2019";2,85;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2006";2,22;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2007";2,27;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2008";2,56;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2009";2,84;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2010";3,20;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2011";3,38;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2012";3,54;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2013";3,66;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2014";3,86;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2015";3,92;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2016";4,01;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2017";4,14;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2018";4,32;"zł";"";
0000000;"POLSKA";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2019";7,61;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2006";80,11;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2007";82,17;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2008";84,61;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2009";87,35;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2010";89,16;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2011";84,69;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2012";88,78;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2013";92,78;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2014";93,57;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2015";97,25;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2016";99,39;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2017";101,60;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2018";102,92;"zł";"";
0000000;"POLSKA";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2019";104,00;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2006";;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2007";;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2008";;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2009";;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2010";;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2011";;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2012";6,54;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2013";6,70;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2014";6,88;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2015";6,82;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2016";7,00;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2017";6,97;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2018";7,07;"zł";"";
0000000;"POLSKA";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2019";7,20;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2006";96,68;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2007";104,35;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2008";115,06;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2009";122,51;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2010";132,24;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2011";134,18;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2012";140,71;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2013";149,23;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2014";151,44;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2015";150,48;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2016";151,77;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2017";153,20;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2018";155,51;"zł";"";
0000000;"POLSKA";"styczeń";"bateria zlewozmywakowa";"cena";"2019";163,30;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2006";483,52;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2007";520,73;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2008";565,33;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2009";706,26;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2010";714,20;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2011";764,73;"zł";"";
